Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.0589648663227796,0.134200116749551,0.00547458963371417,0,0,0,79.4265587442076,2.15281121006603,-0.11329003960186,-0.0256118794044203,4.1807420330578,0.00754987522675796,3.2718961321262,0,0,0,0,0,0,package://r2000_urdf/meshes/base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://r2000_urdf/meshes/base.STL,,base-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0146188551218751,0.261336311721324,-0.0778801226933692,0,0,0,98.4447414677161,3.54015126212754,-1.04534649523983,-0.544926692252298,5.14719282768335,-0.335394603229195,4.95454477813311,0,0,0,0,0,0,package://r2000_urdf/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://r2000_urdf/meshes/link1.STL,,J1_assem-1,Origin_joint1,Axis_joint1,joint1,continuous,0,0.299,0,0,0,0,base,0,1,0,,,,,,,,,,,,
link2,0.0428715316339108,0.424830287877023,-0.160333088027016,0,0,0,57.8340183615569,7.20323248318394,-0.251100382441449,0.0219359368413988,0.770569300243738,0.795643805567422,7.39893614081204,0,0,0,0,0,0,package://r2000_urdf/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://r2000_urdf/meshes/link2.STL,,J2-1,Origin_joint2,Axis_joint2,joint2,continuous,0.312,0.371,-0.056,0,0,0,link1,0,0,-1,,,,,,,,,,,,
link3,0.376115797097515,0.145322344936816,0.196717251272584,0,0,0,62.7672796425545,1.55328036855659,-1.75404342962931,-0.697791755533549,14.4666505631054,-0.267307649232387,14.8007887231282,0,0,0,0,0,0,package://r2000_urdf/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://r2000_urdf/meshes/link3.STL,,J3-1,Origin_joint3,Axis_joint3,joint3,continuous,0,1.075,-0.17515,0,0,0,link2,0,0,1,,,,,,,,,,,,
link4,0.125532432466578,-1.86065542973068E-08,-0.0240014962921646,0,0,0,3.77391712485386,0.0103907506880208,7.26008866017942E-10,-0.00294677051456163,0.0361687859556413,4.8529452733311E-09,0.0358501296030016,0,0,0,0,0,0,package://r2000_urdf/meshes/link4.STL,0.866666666666667,0.866666666666667,0,1,0,0,0,0,0,0,package://r2000_urdf/meshes/link4.STL,,J4-1,Origin_joint4,Axis_joint4,joint4,continuous,1.499,0.225,0.26215,0,0,0,link3,1,0,0,,,,,,,,,,,,
link5,0.0543158465023166,2.98365998574468E-10,-0.0587496229396575,0,0,0,6.55493498459228,0.0581704674231251,-6.30093205715802E-11,0.0155297667861974,0.082931324304848,2.51023794909951E-11,0.0545737275436082,0,0,0,0,0,0,package://r2000_urdf/meshes/link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://r2000_urdf/meshes/link5.STL,,J5-1,Origin_joint5,Axis_joint5,joint5,continuous,0.231,0,0.0605,0,0,0,link4,0,0,-1,,,,,,,,,,,,
link6,0.0188963612278803,0,-0.0310752861847552,0,0,0,0.522292001248235,0.00143474809666454,3.49428873747403E-21,4.85762026974708E-07,0.000772279049098994,-3.18249216211323E-20,0.000772450968594439,0,0,0,0,0,0,package://r2000_urdf/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://r2000_urdf/meshes/link6.STL,,J6-1,Origin_joint6,Axis_joint6,joint6,continuous,0.179500000000001,0,-0.0605,0,0,0,link5,1,0,0,,,,,,,,,,,,
